,sCD40L ,EGF ,Eotaxin ,FGF2 ,FLT3L ,Fractalkine ,GCSF ,GMCSF ,CXCL1orGROa ,IFNa2 ,IFNy ,IL1a ,IL1b ,IL1RA ,IL2 ,IL3 ,IL4 ,IL5 ,IL6 ,IL7 ,IL8orCXCL8,IL9 ,IL10 ,IL12p40 ,IL12p70 ,IL13 ,IL15 ,IL17A ,IL17E/IL25 ,IL17F ,IL18 ,IL22 ,IL27 ,CXCL10orIP10 ,CCL2orMCP1 ,CCL7orMCP3 ,MCSF ,CXCL9orMIG,CCL3orMIP1a ,CCL4orMIP1b ,PDGFAA ,PDGFABAndPDGFBB ,CCL5orRANTES ,TGFa ,TNFa ,TNFb ,VEGFA ,Eotaxin2 ,CCL8OrMCP2 ,CXCL13OrBCA1 ,CCL13orMCP4 ,CCL1orI309 ,IL16 ,CCL17orTARC ,CCL21Or6CKine,Eotaxin3 ,LIF ,TPO ,SCF ,TSLP ,IL33 ,IL20 ,IL21 ,IL23 ,TRAIL ,CCL27orCTACK ,SDF1aAndSDF1B ,CXCL5orENA78 ,CCL15orMIP1d ,IFNL2orIL28A 
sCD40L ,0.0,0.17314081090373568,0.4264162252130556,0.5843554285533792,0.5803619186081601,0.6365700054761021,0.6655499362525041,0.48742268532894684,0.3548217169853567,0.670119343405206,0.563831387147702,0.43384357566031995,0.47739297412931975,0.5735543949526377,0.7376921160602217,0.5166373069966016,0.5599405600546323,0.48645008817327906,0.4861173711201958,0.22939673048998604,0.2819976213067977,0.44028248192345387,0.6113635426425585,0.698548633759261,0.4172312711309082,0.48266054452045365,0.6221318555247379,0.5281844750044132,0.42021688346361774,0.6133363538241599,0.4463848516175891,0.4913745702200459,0.4660355210895606,0.5043127572965064,0.6028503334166886,0.43228616251700025,0.6334232976272632,0.5160633264536979,0.4679410215738972,0.35498303625493544,0.19577216014639903,0.14387040718782956,0.6308293546606472,0.4241510022125145,0.5713885374597395,0.4133260005042547,0.36341933400758314,0.4143114916749482,0.5946661626595116,0.552013327536716,0.46892767514750744,0.6298171394961339,0.609644780016735,0.33938090776790303,0.6628225585611107,0.5525067315348798,0.5042372318438295,0.6985141523204248,0.6238147737117311,0.6020602844502387,0.7070575066347091,0.6404721181693402,0.5710538419694802,0.602091295413941,0.6467249222571749,0.5212915970550291,0.6368625466936931,0.37690779535361674,0.46231216771996997,0.6174564142204896
EGF ,0.17314081090373568,0.0,0.4410488481494825,0.5348761976147542,0.5573308267061693,0.6760040813374022,0.6550249755304538,0.49169918152863956,0.31213144695488576,0.6494644331025637,0.5559978084805839,0.47337389985403344,0.48434304142826323,0.5645444069802317,0.7099330122529814,0.4829703221574001,0.5969408393192386,0.5764113540224397,0.47161988603049176,0.28421419290110483,0.3278684127249716,0.5238532304642651,0.6082717190896335,0.669612512875724,0.43492360936644087,0.5322436896634356,0.5908952635908276,0.5223112764232317,0.4486330578973056,0.5254860107034597,0.564702133479676,0.4504975247704568,0.5135110340656474,0.5934399329035833,0.5790521550719224,0.4507568777225497,0.6429680181463424,0.603532693576088,0.529563022638671,0.37470317365747363,0.23950075103105578,0.1744150856271245,0.6122238354389284,0.3851089123035082,0.6361334858097255,0.42719938180651357,0.3808712733302144,0.4420781360362701,0.5610896872086868,0.5549950239933955,0.4703077587872012,0.6077555859306077,0.5807934017342169,0.4570240228486101,0.617125464604827,0.46035063458072634,0.48638640104418585,0.5698081655139369,0.5897305682837239,0.5337997344214892,0.6285761922021256,0.5439879147215693,0.4912026526740017,0.516735889144539,0.5925003497236296,0.6059136986759132,0.6150981695027393,0.3776156684906199,0.49503423486143144,0.575898971578966
Eotaxin ,0.4264162252130556,0.4410488481494825,0.0,0.48713569845118004,0.5154952442164922,0.6223561243099922,0.6444026862468433,0.4606078516795667,0.44626494832142233,0.5185453978300633,0.5176012172701061,0.48094337443555946,0.5237991605528846,0.5437679027019043,0.5159376642054374,0.5205058457359094,0.4091934272031338,0.4369541772093394,0.6244553908022882,0.5050990527254253,0.41991989765840515,0.5088798022344962,0.6164824186941754,0.5125253562789571,0.48908679623903484,0.5307496106595115,0.6113105326523911,0.6126735078784923,0.4879462954323951,0.6190748201827688,0.5136709972197735,0.4360914051031159,0.4757277063901899,0.6144404381898146,0.389942985249271,0.34164161785314745,0.6287151951389329,0.6310874104048996,0.4571157457580396,0.49529293331144314,0.3833292921558651,0.3421450188463332,0.5737531122650485,0.6285500099740804,0.5645672710410008,0.4951710448300502,0.46231907249609705,0.38177733218967247,0.5444522165688754,0.5752843684902952,0.18612354526388114,0.5752689005348778,0.48643955271298955,0.4999709787946141,0.5566164410303004,0.13583977177978013,0.42651376374477934,0.6002016940117604,0.5871593560354763,0.6055882298913573,0.533425915223515,0.528129172940204,0.5589161430101333,0.6014717803459843,0.5487044263404545,0.48573674188615984,0.482401768415759,0.6336673536504768,0.5441894528285103,0.47241292223117115
FGF2 ,0.5843554285533792,0.5348761976147542,0.48713569845118004,0.0,0.5070269520162196,0.42399652728165316,0.6176158086138178,0.5153994421755704,0.5812136776832233,0.4167163622074325,0.5004719159215565,0.3485062191086249,0.31764417397966005,0.613977551788942,0.2798032109793514,0.515633023270464,0.4039977502243025,0.5150374561892523,0.647845206158696,0.4926023405662392,0.602799424520637,0.44293145700799175,0.6131803075751248,0.5245585032401249,0.4040884850539294,0.3767551866134378,0.45927316540573404,0.322853201277337,0.4443458920867889,0.4659237491295732,0.5134223573649677,0.43792870153805546,0.5188800684589979,0.6849126894782369,0.655141683205146,0.4898601269630635,0.5575890155548705,0.5943204211566631,0.4509079453258311,0.649587690134788,0.5669786942971707,0.5491829959572658,0.48596071221012416,0.5203710427766941,0.5761536622408198,0.457712184799579,0.5370004194833152,0.4967387742777164,0.5922215927577559,0.5181108599783539,0.49120021579602524,0.6263855181016366,0.41579868695985733,0.562494845366125,0.50715939121945,0.3775077599542952,0.41083963225397857,0.4509327650933978,0.47586649659817354,0.43368562138704936,0.45146651304543983,0.3738734689118741,0.4580001978004554,0.45366294846922117,0.6345284878974783,0.5546360182892063,0.544526760703627,0.5768747336561452,0.5980453588283834,0.3769050369110615
FLT3L ,0.5803619186081601,0.5573308267061693,0.5154952442164922,0.5070269520162196,0.0,0.4190571052969218,0.377351874735036,0.4774690670943903,0.3897724749932484,0.44859298631002625,0.41280099907433376,0.6279619864402228,0.49797487917086103,0.5165466614358707,0.45543090831016203,0.4371680299515222,0.494939150718331,0.3468343416395131,0.5123770390589248,0.5701128032783167,0.4789363271703163,0.5802302648797263,0.4785533464388761,0.40231480469191994,0.47772463334933213,0.47813668968157635,0.47174623476231414,0.5094384201984448,0.4566281320081345,0.6051602715706468,0.5152573529176032,0.5361939726515499,0.5710158672607822,0.3911246726172061,0.46547653426278124,0.5276546139232181,0.3612789308122847,0.42120556320781516,0.5291993386340793,0.5230863031076703,0.5247803007140632,0.5661655849273592,0.5459155467515936,0.6375452744622158,0.42826351314778743,0.5372303122432706,0.5364880474101348,0.5416636836183978,0.47491213942390764,0.568986197236163,0.5356828330600147,0.2863291793270929,0.6187156856023113,0.544208083261125,0.5566055298039978,0.558537356075461,0.6681014802429539,0.5618095363430439,0.5304191709087935,0.5781056649323675,0.4555626640250681,0.6026161505454493,0.5714909406571695,0.5775791166175958,0.4457219927876522,0.39319287479495385,0.4973470181829348,0.48805035633406213,0.5686387030686832,0.6259070679124603
Fractalkine ,0.6365700054761021,0.6760040813374022,0.6223561243099922,0.42399652728165316,0.4190571052969218,0.0,0.5230333768619834,0.4001920830530684,0.6202969102578995,0.4308402313548137,0.3995015055716708,0.5809025320641895,0.5221742095354163,0.4846020590727632,0.40986338800190464,0.4643031760285322,0.4424972540137566,0.5292885956948434,0.4923936663495734,0.5656098136421636,0.6175926240748628,0.42224562989607217,0.5236775522729843,0.44914088547399206,0.527472549039854,0.4239013776292725,0.44964739975865414,0.5009257868659033,0.4765119595160511,0.43111259748029385,0.5060638001227512,0.5639843422283073,0.4981304069351026,0.5363034856392654,0.4703810428915214,0.5420562008397797,0.4332375319203291,0.42359215405758627,0.5502929727305059,0.5647668940169115,0.6488284842878906,0.6931291634320483,0.5167897504712495,0.5078684185404363,0.3586469868637644,0.39441692644482174,0.6352491102993547,0.592687281240369,0.530450249847631,0.45218836476979724,0.5920675232784562,0.4671151398899841,0.5806106488865669,0.4773621918437095,0.48516040196065363,0.5413154285823698,0.5162949610256601,0.49136031430500976,0.3419365605559094,0.47661309470687907,0.49661262270033457,0.5270925679958925,0.4949019330255121,0.45867128555151687,0.40597476987933123,0.4375897177149011,0.541099792245836,0.48005576537357747,0.4682853566854867,0.5836410682422003
GCSF ,0.6655499362525041,0.6550249755304538,0.6444026862468433,0.6176158086138178,0.377351874735036,0.5230333768619834,0.0,0.5351532578116862,0.5044482894620176,0.5063452704250326,0.3998228568969889,0.6069475478938633,0.6076169249963885,0.5023982064774186,0.4475310960944661,0.43342309662529677,0.595604930043892,0.46799611906430966,0.3546471637847045,0.6129484447149598,0.5885321351380923,0.6100273879119611,0.21569418057128464,0.36496926267643937,0.5522425830363489,0.5510948359630206,0.40127068593098786,0.5513522995815299,0.565822561326608,0.4892200067994654,0.4536902603954773,0.5042966321184115,0.5317475965762808,0.27913135739219314,0.4083027165692603,0.564061310031912,0.36059119259670597,0.3892820799429005,0.5481659088811853,0.5515676035760615,0.6215640350433357,0.6505409062941866,0.37967224912637926,0.6086258800201607,0.39515745405632136,0.5430185031192383,0.536400061314076,0.5978611349017443,0.39125130144455067,0.5554892747719217,0.5524472334460495,0.3109669747664703,0.5796407999052857,0.560866039070193,0.2869536798405133,0.720041492942405,0.632345958830395,0.45510184967276635,0.5058132672498139,0.5835017589424895,0.49329696933517103,0.5027759934655631,0.5768340829209354,0.6100245849947175,0.37221809086691815,0.4345803275051473,0.3927048164453953,0.5447314551890595,0.500374857120872,0.5585453774548629
GMCSF ,0.48742268532894684,0.49169918152863956,0.4606078516795667,0.5153994421755704,0.4774690670943903,0.4001920830530684,0.5351532578116862,0.0,0.5170737336017677,0.5200233629008344,0.41969387840334776,0.5370053304053157,0.4971462072214169,0.5571778644403869,0.5215867489602614,0.37977680103758754,0.35983055851197104,0.43728958975388155,0.5129016474008714,0.5390816770593579,0.490899229825777,0.501031486425652,0.5856599234604988,0.3770080924944544,0.5000518742730357,0.41065177053175667,0.617095586174202,0.4879148046071341,0.430545554349106,0.6568956120038697,0.5660383056201712,0.4407700607358777,0.4146452623516188,0.5403785629653284,0.4564512525546814,0.4627148254247946,0.4900062572532317,0.48768119616921823,0.3609302820643634,0.4300557280909716,0.5035711539498705,0.5012856350360548,0.6243279408143848,0.6175567163221246,0.4622541123289287,0.4088759050153365,0.5173163955382952,0.5142688640472174,0.4993921334942317,0.5407654495117757,0.4657892131336337,0.45918953653249794,0.5377406194034892,0.49899169718392994,0.5331379528985958,0.49163422679016944,0.5283757666734145,0.6753049297826234,0.4552142210587016,0.6148598721582443,0.605300081601457,0.6357810126413188,0.48004868413128615,0.6021110043959672,0.46393225127635784,0.5525676781399497,0.5033735849506958,0.45837457968161177,0.6439173022323289,0.5298472460329816
CXCL1orGROa ,0.3548217169853567,0.31213144695488576,0.44626494832142233,0.5812136776832233,0.3897724749932484,0.6202969102578995,0.5044482894620176,0.5170737336017677,0.0,0.65610074770404,0.4915772326645992,0.572360965962085,0.4956455586801347,0.47175052134770173,0.6307143400478461,0.5456833551141494,0.543206073091033,0.5073856763494168,0.3607247651630501,0.3781920697294189,0.2966055843331723,0.5787979415229036,0.4808672973063268,0.5857998261302005,0.5510581430930459,0.5061991117060566,0.5783878321330684,0.5649673589841051,0.5110903443953073,0.5709215654574301,0.532366525233591,0.4473488715620052,0.5113592385032019,0.4626868038374369,0.49146964853530206,0.3922952175307659,0.5342065443591608,0.4931716101676081,0.49722255731540144,0.41091270854912465,0.3350855147066807,0.3729172507751567,0.5589258013617393,0.5027972733461258,0.46496608307810705,0.49434393461305504,0.5025339890923943,0.4876141656682401,0.512419033767152,0.5092608134278872,0.5281669941006709,0.42785823241845,0.6022813064163083,0.4809369656000019,0.5538038032692756,0.5776906733127892,0.5757143671940226,0.5824748805334842,0.6546539715290092,0.5805518231071876,0.6220934735458513,0.6484092051171386,0.6175307666550053,0.6070339579819759,0.5072367955692363,0.4555140997531799,0.5530308753428296,0.41464698017274154,0.5555270483895307,0.6360236403238914
IFNa2 ,0.670119343405206,0.6494644331025637,0.5185453978300633,0.4167163622074325,0.44859298631002625,0.4308402313548137,0.5063452704250326,0.5200233629008344,0.65610074770404,0.0,0.3449006982099979,0.5261043179121857,0.4060391413519514,0.5286296741477062,0.3714236693478192,0.4328401601613987,0.44431666225088806,0.5811014678607269,0.5838310910171776,0.5986106743609678,0.7271853820990921,0.5129365582980709,0.45426106600397415,0.3612320922586575,0.4830591788633136,0.41960431206243465,0.34397261934562173,0.35972999313709786,0.5135092933262516,0.4401452737810424,0.5479470929064577,0.5275649827566143,0.4496586987481232,0.4983242578508719,0.49946650450998176,0.6166563724001622,0.46192820358455267,0.5610159134311614,0.5390187434423596,0.6503430588516536,0.6133511418833043,0.6310366746455442,0.6477605214437984,0.6282271117069975,0.4951673504855401,0.48600562478911125,0.5099092695870795,0.6314232574372105,0.47312217161457903,0.4693730745247921,0.5794690889840075,0.4951295002646089,0.4881407853088157,0.5740445971948491,0.5050694715905735,0.4574591493229415,0.3653188954898603,0.44974011181839774,0.426434405433303,0.5200562778548998,0.4093172057416069,0.44568981347499304,0.47039349983316636,0.48152907710693854,0.36915507677431153,0.43980965728554455,0.4535237846587919,0.5150945481650903,0.46749349960652803,0.4890874842211033
IFNy ,0.563831387147702,0.5559978084805839,0.5176012172701061,0.5004719159215565,0.41280099907433376,0.3995015055716708,0.3998228568969889,0.41969387840334776,0.4915772326645992,0.3449006982099979,0.0,0.586616779010757,0.4117797154637441,0.49749693449283394,0.34127583136239054,0.5106810147472196,0.4676582819476313,0.5843732207044697,0.41968185460084484,0.6280285361517861,0.6266243893655494,0.6479946237033813,0.35676362968132336,0.461783211980661,0.4780951106374226,0.4322615349030188,0.47482722184734555,0.4240685024958859,0.5718744500861388,0.570502529828349,0.5075902521658644,0.48617258428274296,0.4846865203441523,0.38452613329741375,0.4200732404843783,0.38770531441639466,0.4171471020937131,0.4231965070410475,0.6039435771040248,0.5953131936326289,0.454193017388552,0.5549205375126391,0.5831406219455134,0.6336608581563323,0.41900005753731695,0.21976510184922476,0.5698195755435447,0.6465431689786042,0.39185636227775755,0.509352077413003,0.5672518863423177,0.4171724871979505,0.6387365631993636,0.5901816641037607,0.46138518980761706,0.5565348069468602,0.5330051268064556,0.5725248896935698,0.5657764432667182,0.6206334815486111,0.5303282420600015,0.5602759758333291,0.5761822855386998,0.6284514687554166,0.3594678079129585,0.5137785688961682,0.5627546203293323,0.48286476359591907,0.5416855089466728,0.6266148362128773
IL1a ,0.43384357566031995,0.47337389985403344,0.48094337443555946,0.3485062191086249,0.6279619864402228,0.5809025320641895,0.6069475478938633,0.5370053304053157,0.572360965962085,0.5261043179121857,0.586616779010757,0.0,0.3723294742116815,0.4868803023638191,0.4130389890520703,0.4964905667235638,0.5165421045124825,0.5175621274391079,0.614382648348445,0.40434267244071076,0.4902912727579419,0.4187974964120303,0.6665408816930889,0.5597918877438129,0.3687493083973434,0.4847427444883577,0.5787730590229494,0.30602738262364826,0.43581087513043304,0.5170109358692655,0.5567895783592727,0.5035827982051518,0.5120459969825287,0.6634400256182224,0.6317692569465513,0.534297998090863,0.6151152876989325,0.5216642232822729,0.3903152234181963,0.5073142070137551,0.5093772683246154,0.45548552261830516,0.4668910149586517,0.4310898206239371,0.5095995934314421,0.5701145235495577,0.452743283685264,0.4392605010316749,0.6756635968330078,0.5432937638522775,0.48405053773641904,0.6491266332728238,0.42012291761470505,0.46191494353800433,0.5437832206424219,0.4941307091984408,0.3924163171556842,0.5451085514098888,0.37395173229096007,0.4345301641209099,0.5543517854171972,0.48339233290378614,0.4002539144207894,0.43311883203414314,0.5796305550566508,0.5774025424528351,0.5788138339036666,0.585517455546509,0.5538596667860931,0.3975534026351755
IL1b ,0.47739297412931975,0.48434304142826323,0.5237991605528846,0.31764417397966005,0.49797487917086103,0.5221742095354163,0.6076169249963885,0.4971462072214169,0.4956455586801347,0.4060391413519514,0.4117797154637441,0.3723294742116815,0.0,0.6449096344280854,0.4527357703869373,0.5532889797406303,0.4322320323947079,0.5267495054739698,0.5274056526820028,0.4553586372366546,0.5924595078637239,0.5814538033590368,0.5654301131465467,0.5177069319817411,0.2986520829728283,0.3720124656130377,0.4929575413469458,0.2972570754813849,0.5160914123393325,0.4696335802803998,0.586398508971382,0.48249831910964697,0.5199815244622723,0.5355040737442343,0.6805111421382093,0.47024451578259935,0.5731843926857153,0.5671069454315331,0.5307962259817701,0.5743330343016555,0.4413676671737299,0.42835364826139455,0.536612989508763,0.5196507559903609,0.5728460018717163,0.42685874491675835,0.5458574347123916,0.5487166719136775,0.5738771156027724,0.41032201764564313,0.5170196653905106,0.57805616957198,0.4727283842098632,0.5587551919575585,0.532884421123492,0.4192394282613043,0.5511016183753921,0.5270173248136367,0.5267372920138291,0.43974001113081085,0.45064617715715427,0.5185880995641038,0.4401387742461708,0.44386309846614486,0.6031196807795138,0.5929734823719657,0.5671463220515295,0.5818899305873555,0.5409340853176916,0.4645951319502242
IL1RA ,0.5735543949526377,0.5645444069802317,0.5437679027019043,0.613977551788942,0.5165466614358707,0.4846020590727632,0.5023982064774186,0.5571778644403869,0.47175052134770173,0.5286296741477062,0.49749693449283394,0.4868803023638191,0.6449096344280854,0.0,0.4384558543040378,0.5171089888947173,0.5691925345856536,0.5591059953219134,0.4327472780235894,0.5556634977335777,0.41076521206123817,0.583269095131674,0.3897911471978307,0.46217467070710916,0.6086791068543018,0.6181029182175168,0.4376298164912647,0.5063228540659207,0.6275390137952422,0.5635618737497303,0.3912580611033728,0.602666810459859,0.40408839306956473,0.434354949961827,0.3522707594365252,0.43739213943806854,0.41485880990579155,0.33760698408231965,0.4907002693253132,0.3793792302301523,0.5357285136773371,0.5523250296031185,0.49271076562544797,0.4333742891969122,0.31513962146123065,0.5704476593665109,0.6486829083397894,0.5157886537362337,0.4543037736753674,0.48825949616934006,0.5486214037744209,0.41834943450895384,0.600227358444426,0.48558526684184167,0.5369562094087879,0.5825991168908661,0.5862629570879909,0.594353637156545,0.44494626205032756,0.6196890138746133,0.5345643441100144,0.475579933421727,0.602927500790931,0.6339734524584479,0.4846276154747496,0.4541010763186438,0.42722422639934926,0.5058533953874998,0.4550263061142821,0.5994481626269926
IL2 ,0.7376921160602217,0.7099330122529814,0.5159376642054374,0.2798032109793514,0.45543090831016203,0.40986338800190464,0.4475310960944661,0.5215867489602614,0.6307143400478461,0.3714236693478192,0.34127583136239054,0.4130389890520703,0.4527357703869373,0.4384558543040378,0.0,0.46288971147133284,0.4585071947531951,0.4943280925518131,0.6011033990687276,0.6363141542118307,0.686964565637639,0.5687288899604906,0.5199930908475123,0.3949656136365552,0.3714672067359257,0.4786803169229858,0.5095952297151372,0.36547920212399926,0.5442150036711263,0.4089622208997048,0.6869065376693678,0.5021992146350774,0.455602929443159,0.5316275441562963,0.47303179460944556,0.41335515147905366,0.45827303309793727,0.5427366822885512,0.4552559641769165,0.6417613686161545,0.6447839909870923,0.6693351397296599,0.5293769530781127,0.6552529708351597,0.44134787132372566,0.40183520292716024,0.6009220014464591,0.6179605029439709,0.40712422680895194,0.5627549224385474,0.46058395537985064,0.4487976647066916,0.4905055523209354,0.5367884521702795,0.4378914642366565,0.49586842747088633,0.5299110785832196,0.4628205368403038,0.4532534692826269,0.4425833317951144,0.4490723889852015,0.47663181239053215,0.4958256044632967,0.4573901789540111,0.44921801232782704,0.5048514024319227,0.46759976291810496,0.45632591201585887,0.5610155090314245,0.4831510650168103
IL3 ,0.5166373069966016,0.4829703221574001,0.5205058457359094,0.515633023270464,0.4371680299515222,0.4643031760285322,0.43342309662529677,0.37977680103758754,0.5456833551141494,0.4328401601613987,0.5106810147472196,0.4964905667235638,0.5532889797406303,0.5171089888947173,0.46288971147133284,0.0,0.6178640218912855,0.45071867643666685,0.4834671001186964,0.5496021462193905,0.5061764688749306,0.5380982629675446,0.522613299006212,0.44366352713616075,0.49283710985479506,0.5073291265046286,0.49178033995110454,0.4117466916167649,0.539291469406468,0.4627109253362915,0.5491907140751457,0.6376636291563116,0.5789620192596413,0.4996345420205247,0.3974835728033393,0.5493885606525644,0.4836514974884073,0.4933257101948211,0.39975110268615754,0.4858944482957996,0.5304683418149152,0.4773675854241899,0.6020136718987634,0.5141995102921949,0.5876423827947579,0.48447162733973687,0.4993859332076037,0.5003300589220536,0.4842460572341751,0.5802543058922589,0.476693292104129,0.4507217768902579,0.49960986012047415,0.4727537195063313,0.5709005462995194,0.5733520416485254,0.502667866570465,0.5825122050589069,0.4711491202872484,0.5487968313321663,0.5477041236255349,0.5393550474048125,0.40844140905338344,0.5334054620884346,0.5610795146918441,0.48073917826557205,0.5979515645330359,0.4930357885121674,0.5299379467714664,0.5288984727022669
IL4 ,0.5599405600546323,0.5969408393192386,0.4091934272031338,0.4039977502243025,0.494939150718331,0.4424972540137566,0.595604930043892,0.35983055851197104,0.543206073091033,0.44431666225088806,0.4676582819476313,0.5165421045124825,0.4322320323947079,0.5691925345856536,0.4585071947531951,0.6178640218912855,0.0,0.5651836216346524,0.7141280674880301,0.5246435866637542,0.6327549709223608,0.3526530772113489,0.5937870557065572,0.48106777555852276,0.3361037800399055,0.3357943790448662,0.5981517860555943,0.5863329060786836,0.3134007949501093,0.5247066843633591,0.5844319527147476,0.34768025210172476,0.5876153075834217,0.6768851425378754,0.6017834108624185,0.4409018899867847,0.6337922863852316,0.6387953145534272,0.49547384337770445,0.6161686615451571,0.6782388793968086,0.5808541646174852,0.5590181042667695,0.5281329142137406,0.34620464167887904,0.3636233692867173,0.4897732100128596,0.4875850627493743,0.5047747935641329,0.5696285774268619,0.4193468414672322,0.5141112202320375,0.4472817363490179,0.4340156815936271,0.49294846912487406,0.35431461484696863,0.266338240355033,0.4935233560920008,0.4142739312618926,0.4543217807805346,0.3665867225059597,0.5545555672436935,0.5180231756751128,0.5148467298638834,0.49212364476398934,0.5306582779514265,0.5375402175485725,0.5622017965203485,0.5817479774817865,0.3814554011489366
